depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 64, 14, 14], filter_shape: [64, 64, 3, 3] -> 0.0066284582
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 128, 14, 14], filter_shape: [128, 128, 3, 3] -> 0.0106263854
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 256, 14, 14], filter_shape: [256, 256, 3, 3] -> 0.0393009688
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 512, 14, 14], filter_shape: [512, 512, 3, 3] -> 0.1576564896
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 64, 26, 26], filter_shape: [64, 64, 3, 3] -> 0.0104964062
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 128, 26, 26], filter_shape: [128, 128, 3, 3] -> 0.0419741042
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 256, 26, 26], filter_shape: [256, 256, 3, 3] -> 0.1591393542
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 512, 26, 26], filter_shape: [512, 512, 3, 3] -> 0.6316002288
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 64, 52, 52], filter_shape: [64, 64, 3, 3] -> 0.0437579894
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 128, 52, 52], filter_shape: [128, 128, 3, 3] -> 0.1720463852
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 256, 52, 52], filter_shape: [256, 256, 3, 3] -> run skip
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 512, 52, 52], filter_shape: [512, 512, 3, 3] -> run skip
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 64, 104, 104], filter_shape: [64, 64, 3, 3] -> run skip
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 128, 104, 104], filter_shape: [128, 128, 3, 3] -> run skip
depthwise--target: llvm -target=arm64-linux-android, dtype: float32, layout: NCHW, input_shape: [1, 256, 104, 104], filter_shape: [256, 256, 3, 3] -> run skip
